 802  4089.2880        0.8700 06L  0.9000 10  V48a      231530.1490   10     3d  4F    255977.4200   12     4f  G5*  1.0000  1.0000  1.0000
 802  4114.5020       -0.2800 06L -0.2690 10  V48b      231530.1490   10     3d  4F    255827.5400   10     4f  G4*  0.0187  0.0187  0.0187
 802  4097.2580        0.7700 06   0.7800 10  V48b      231427.8700    8     3d  4F    255827.5400   10     4f  G4*  0.7351  0.7351  0.7351
 802  4371.6180       -0.6200     -0.6200     V76b      232959.1500    8     3d  2F    255827.5400   10     4f  G4*  0.1249  0.1249  0.1249
 802  4332.7070       -0.0600     -0.0600     V65b      232753.7330    8     3d  4D    255827.5400   10     4f  G4*  0.1213  0.1213  0.1213
 802  4088.2680       -0.9000     -0.9000     V48a      231530.1490   10     3d  4F    255983.5000   10     4f  G5*  0.0230  0.0230  0.0230
 802  4071.2330       -0.0900     -0.0900     V48a      231427.8700    8     3d  4F    255983.5000   10     4f  G5*  0.2036  0.2036  0.2036
 802  4342.0040        0.8300 06   0.8100 10  V76a      232959.1500    8     3d  2F    255983.5000   10     4f  G5*  0.7018  0.7018  0.7018
 802  4303.6090     P  0.3800      0.3800     V65a      232753.7330    8     3d  4D    255983.5000   10     4f  G5*  0.0716  0.0716  0.0716
 802  4062.9360       -0.2000 06L -0.0900     V50a      231530.1490   10     3d  4F    256135.9800   10     4f  F4*  0.1500  0.1500  0.1500
 802  4046.1130       -1.2400 06L -1.8300     V50a      231427.8700    8     3d  4F    256135.9800   10     4f  F4*  0.0150  0.0150  0.0150
 802  4313.4420        0.4600      0.4600     V78a      232959.1500    8     3d  2F    256135.9800   10     4f  F4*  0.1534  0.1534  0.1534
 802  4275.5510        0.7600 06   0.7600 10  V67a      232753.7330    8     3d  4D    256135.9800   10     4f  F4*  0.6815  0.6815  0.6815
 802  4114.1750     P -2.5300     -2.5300     V48b      231530.1490   10     3d  4F    255829.5000    8     4f  G4*  0.0005  0.0005  0.0005
 802  4096.9290       -0.7500     -0.7500     V48b      231427.8700    8     3d  4F    255829.5000    8     4f  G4*  0.0459  0.0459  0.0459
