#LMC WR nebula
#from Stock et al., MNRAS, 418, 2532
#Wavelengths are only to 1 decimal place so the -id option needs to be specified for NEAT analysis
3727.0 58.53 0.72
3868.7 53.11 0.69
4101.7 24.49 1.43
4340.5 42.11 1.43
4363.2 12.85 1.42
4471.5 1.77 0.32
4685.7 72.52 0.68
4711.4 13.21 0.63
4740.2 8.64 0.62
4861.3 100.00 0.82
4958.9 212.87 1.48
5006.8 592.93 1.73
6312.1 2.62 0.33
6562.8 394.99 1.64
6583.5 6.55 1.42
6716.4 18.95 1.66
6730.8 11.29 1.67
7005.4 3.43 1.30
7135.8 11.16 1.39
9068.6 16.10 0.77
9530.6 22.26 1.33
